Accession #, Collector/Donor                                                                                                           , Date Collected, Description                                                                                                                                                                                                                                                                                                                                                                      , Number of records,
1          , Collected by Dr. Joseph Beal-Steere                                                                                       ,               , Ethnographic and archaeological materials from all areas.                                                                                                                                                                                                                                                                                                                        ,                21,
220        , Museum Expedition (Carl Guthe)                                                                                            , 1922-1925     , "Archaeological and Ethnological collections. One box sent in spring,1923. Small shipment in spring,1924. Shipments 3 and 4 arrived July 14,1925. Final shipment August 31. Cat #'s 8356-8360,8381-8383 transferred to Sterns Collection 2/26/1975."                                                                                                                             ,               142,
278        , Collected and donated by Mrs. Morse and 1st Sgt. Fred B. Morse                                                            , 1900-1905     , "campilans and scabbards, fishing spears, hatchet, winnowing baskets, baskets, hats, combs, sashes, beads, coconut dipper, spoon, dishes, powder horn, bamboo canes, fiddle, sickles, chest, tusks, knives, flute, hats, harps, chop stick, firearms, hamper, bracelots, chains, shoes."                                                                                         ,               233,
784        , Collected by Prof. Van den Broek.                                                                                         , pior ro 1929  , Weapons. Received through help of Dr. J. A. Van den Broek. See Accession Correspondence.                                                                                                                                                                                                                                                                                         ,                14,
950        , Collected by Harry Cole. Donated by wife.                                                                                 , 1901-1902     , Miscellaneous. Cartridge from the Philippines                                                                                                                                                                                                                                                                                                                                    ,                52,
951        , Collected by Harry Cole. Donated by wife.                                                                                 , 1902-1903     , "30 Hats, mats, and head scratchers from the Philippine Islands"                                                                                                                                                                                                                                                                                                                 ,                32,
1198       , Collected and donated by Judge H. Johnson.                                                                                , No date       , Phillippine spears and bowstrings.                                                                                                                                                                                                                                                                                                                                               ,                11,
1387       , Collected by Philippine Industrial Exhibition. Donated by Cranbrook Institute of Science in  1941.                        , No date       , Basketry from the Philippine Islands and other locations. Many tags contain the name of the Buffalo Museum of Science. Some tags state: The Government of the Philippine Islands. Bureau of Education. Industrial Exhibit.                                                                                                                                                       ,                46,
1527       , Collected by friends of Prof. Goddard. Donated by the Estate of Edwin C. Goddard.                                         , 1900-1910     , Material from the Philippines and other places.                                                                                                                                                                                                                                                                                                                                  ,                26,
1535       , Collected & donated by Mr. and Mrs. W. Fred Kinsey.                                                                       , 1915          , "sheild, head-axe, spear, gourd hat, velvet hat, rattan and bamboo hat"                                                                                                                                                                                                                                                                                                          ,                12,
2108       , Collected and donated by George M. Chandler.                                                                              , 1953          , "Kamilan, Kris, Tabas, Barongs, spears, Swagger stick, axe heads, Picador's Banderillo. "                                                                                                                                                                                                                                                                                        ,                22,
2175       , Collected by Dr. James F. Corbett. Donated by Dr. Horace M. Miner  in 1955.                                               , No date       , Potsherds and stone material. 100 articles and books mostly from National Georgraphic magazine.                                                                                                                                                                                                                                                                                  ,                29,
2243       , Collected by Dr. Clifford Young. Donated by Mrs. Young.                                                                   , c. 1955       , "Tobacco pipes and one album of reproductions of paintings by J. L. Jerome, clay figurines, chipped flint"                                                                                                                                                                                                                                                                       ,                34,
2558       , Collected & donated by Harley Harris Bartlett.                                                                            , 1939          , Bamboo hats and materials and tools used in their manufacture. Made by Tagalog people.                                                                                                                                                                                                                                                                                           ,                20,
3281       , Museum Expedition.                                                                                                        , No date       , Misc. artifacts transfered from the Oriental division. Source was either the Beale-Steare expedition or the Guthe expedition.                                                                                                                                                                                                                                                    ,                16,
3461       , Museum Expedition. Collected by Karl Hutterer.                                                                            , 1979          , ethnographic materials from the Philippines                                                                                                                                                                                                                                                                                                                                      ,                72,
3485       , Collected by William Parry. Donated by Karl Hutterer.                                                                     , 1979          , Bows and arrows from the Philippines                                                                                                                                                                                                                                                                                                                                             ,                16,
3581       , Collected and donated by Mr. & Mrs. Marjorie Townes.                                                                      , 1954          , "Baskets, girdle, fish trap, shoulder bag, container and purse"                                                                                                                                                                                                                                                                                                                  ,                11,
1986-20    , Collected by Tiffany Bernard Williams. Donated by Sam P. Williams - Includes Memoirs of Tiffany's time in the Constabulary, 1914          , "Six spears and a bolo knife with sheath confiscated from natives charged  with headhunting. Taken from three possible tribes: Ifugao, Igorotes,  Gahdangs. See accession file for details."                                                                                                                                                                                     ,                 8,
1989-74    , Collected by Harry Ecroyd Smith. Donated by Oxford Historical Society.                                                    , 1900-1915     , "spears,  battle axe, turning stick, walking stick, arrows, bows, shield, baskets, hats, bowls, drinking dipper, spoon, fork, idols, ladle, bamboo tube, bark fiber, girdle, cloth bags, purses, pipes, earrings, armlet, necklaces, head dress, breechcloths, blankets, beads, antlers. Accession File contains photos and biography of H.E. Smith and artifacts in collection.",                82,
2002-3     , Collected by Owen Tomlinson. Donated by Mrs. Laurine Tomlinson.                                                           , 1909-1913     , This collection consists of textiles collected in the Philippine Islands while Owen Tomlinson was stationed there between 1909 and 1913.                                                                                                                                                                                                                                         ,                37,
