dcterms:identifier,o:media[1]
8129,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8129_1.jpeg
8272,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8272_1.jpeg
8550,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8550_1.jpeg
8575,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8575_1.jpeg
8576,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8576_1.jpeg
8578,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8578_1.jpeg
8652,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8652_1.jpeg
17570,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17570_1.jpeg
17575,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17575_1.jpeg
17576,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17576_1.jpeg
17577,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17577_1.jpeg
17579,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17579_1.jpeg
17580,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17580_1.jpeg
17582,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17582_1.jpeg
17583,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17583_1.jpeg
17585,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17585_1.jpeg
17586,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17586_1.jpeg
17587,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17587_1.jpeg
17590,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17590_1.jpeg
17591,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17591_1.jpeg
17593,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17593_1.jpeg
17594,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17594_1.jpeg
17596,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17596_1.jpeg
17597,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17597_1.jpeg
17598,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17598_1.jpeg
17602,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17602_1.jpeg
17612,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17612_1.jpeg
17613,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17613_1.jpeg
17709,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17709_1.jpeg
23835,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/23835_1.jpeg
26644,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/26644_1.jpeg
37327,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/37327_1.jpeg
47287,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/47287_1.jpeg
92297,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/92297_1.jpeg
92298,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/92298_1.jpeg
92305,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/92305_1.jpeg
17574-a,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17574_1.jpeg
17595-a,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17595_1.jpeg
17599-a,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17599_1.jpeg
17599-b,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17599_1.jpeg
17607-a,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17607_1.jpeg
1989-74-23,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/1989-74-23_2.jpeg
1989-74-25,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/1989-74-25_1.jpeg
1989-74-79,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/1989-74-79_1.jpeg
8126-a,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8126_1.jpeg
8126-b,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8126_1.jpeg
8127-a,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8127_1.jpeg
8127-b,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8127_1.jpeg
8128-a,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8128_1.jpeg
8128-b,https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8128_1.jpeg
