dcterms:identifier       , dcterms:isPartOf, dcterms:identifier       , dcterms:provenance                              , dcterms:extent        , dcterms:isPartOf, dcterms:alternative                                   , dcterms:type          , dcterms:medium               , dcterms:temporal, dcterms:provenance                              , dcterms:spatial             , dcterms:spatial             , dcterms:spatial             , dcterms:subject, dcterms:description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , dcterms:description
Accession Number: 278    , Ethnographic    , Accession Number: 278    , Accession #278 Purchase 04/20/1926 (278)        , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Grass                        ,                 , Accession #278 Purchase 04/20/1926 (278)        ,                             ,                             ,                             ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1      , Ethnographic    , Accession Number: 1      , Accession #1 UMMAA Expedition 1872 (1)          , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Fiber                        ,                 , Accession #1 UMMAA Expedition 1872 (1)          ,                             ,                             ,                             ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 220    , Ethnographic    , Accession Number: 220    , Accession #220 UMMAA Expedition 08/31/1925 (220), "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Balsa; Leather (tanned)      ,                 , Accession #220 UMMAA Expedition 08/31/1925 (220), Barrio Macgum- New Corella  , Barrio Macgum- New Corella  , Barrio Macgum- New Corella  ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 950    , Ethnographic    , Accession Number: 950    , Accession #950 Purchase 07/24/1933 (950)        , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Balsa                        ,                 , Accession #950 Purchase 07/24/1933 (950)        ,                             ,                             ,                             ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 950    , Ethnographic    , Accession Number: 950    , Accession #950 Purchase 07/24/1933 (950)        , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Leaf                         ,                 , Accession #950 Purchase 07/24/1933 (950)        ,                             ,                             ,                             , Filipino       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 951    , Ethnographic    , Accession Number: 951    , Accession #951 Purchase 07/19/1935 (951)        , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Leaf                         ,                 , Accession #951 Purchase 07/19/1935 (951)        , Palo                        , Palo                        , Palo                        ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 951    , Ethnographic    , Accession Number: 951    , Accession #951 Purchase 07/19/1935 (951)        , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Leaf                         ,                 , Accession #951 Purchase 07/19/1935 (951)        , Palo                        , Palo                        , Palo                        ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 951    , Ethnographic    , Accession Number: 951    , Accession #951 Purchase 07/19/1935 (951)        , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Reed                         ,                 , Accession #951 Purchase 07/19/1935 (951)        , Palo                        , Palo                        , Palo                        ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 278    , Ethnographic    , Accession Number: 278    , Accession #278 Purchase 04/20/1926 (278)        , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Leaf; Cotton; Fiber          ,                 , Accession #278 Purchase 04/20/1926 (278)        , Cottobatto                  , Cottobatto                  , Cottobatto                  ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , Other Number: C4625 Number Type: original numbers     , Basket                , Wicker                       ,                 , Accession #1387 Donation 04/29/1941 (1387)      , Tagoloan                    , Tagoloan                    , Tagoloan                    ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo5704 Number Type: original numbers" , Basket                , Balsa                        ,                 , Accession #1387 Donation 04/29/1941 (1387)      , Cangmanhac                  , Cangmanhac                  , Cangmanhac                  ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1Unit: ea" , Ethnographic    , "Other Number: Coo5747 Number Type: original numbers", Basket                , Fiber                        ,                 , Accession #1387 Donation 04/29/1941 (1387)      ,                             ,                             ,                             , Mangyan        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo5766 Number Type: original numbers" , Basket                , Reed; Coconut                ,                 , Accession #1387 Donation 04/29/1941 (1387)      ,                             ,                             ,                             ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo5772 Number Type: original numbers" , Basket                , Rattan                       ,                 , Accession #1387 Donation 04/29/1941 (1387)      ,                             ,                             ,                             , Filipino       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo5785 Number Type: original numbers" , Basket                , Balsa                        ,                 , Accession #1387 Donation 04/29/1941 (1387)      ,                             ,                             ,                             ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo5799 Number Type: original numbers" , Basket                , Bamboo                       ,                 , Accession #1387 Donation 04/29/1941 (1387)      , Dupax                       , Dupax                       , Dupax                       ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo5809 Number Type: original numbers" , Basket                , Rattan; Fiber                ,                 , Accession #1387 Donation 04/29/1941 (1387)      , San Miguel                  , San Miguel                  , San Miguel                  ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo5819 Number Type: original numbers" , Basket                , Rattan; Bamboo               ,                 , Accession #1387 Donation 04/29/1941 (1387)      , Laoag                       , Laoag                       , Laoag                       ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo5847 Number Type: original numbers" , Basket                , Rattan                       ,                 , Accession #1387 Donation 04/29/1941 (1387)      , Cabagan                     , Cabagan                     , Cabagan                     ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Artifact        , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Artifact        , "Other Number: Coo5850 Number Type: original numbers", Basket                , Bamboo; Rattan               ,                 , Accession #1387 Donation 04/29/1941 (1387)      , Cabagan                     , Cabagan                     , Cabagan                     ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo5850 Number Type: original numbers" , Basket                , Rattan; Bamboo; Fiber        ,                 , Accession #1387 Donation 04/29/1941 (1387)      , Cabagan                     , Cabagan                     , Cabagan                     , Ifugao         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
