dcterms:identifier,dcterms:isPartOf,dcterms:provenance,dcterms:extent,dcterms:type,dcterms:medium,dcterms:spatial,dcterms:subject,dcterms:description,filename
8129,278,Accession #278 Purchase 04/20/1926 (278),1 ea,Basket,Grass,Asia-Southeast Asia-Philippines-Cotabato-; ;,,"""Basket with eight decorative legs. Red black natural color. Included note states """"Basket made by women at Cottobatto""""""","8129_1.jpeg"
8272,1,Accession #1 UMMAA Expedition 1872 (1),1 ea,Basket,Fiber,Asia-Southeast Asia-Philippines--; ;,,Basket.,8272_1.jpeg
8390,220,Accession #220 UMMAA Expedition 08/31/1925 (220),1 ea,Basket,Balsa; Leather (tanned),"""Asia-Southeast Asia-Philippines-Davao del Norte-; ; Barrio Macgum","New Corella""","""Rattan carrying case weatherproofed with oil and ornamented with bamboo. This item is a tall rounded rectangular case that is dark brown with lighter brown zigzags vertical lines and horizontal lines around it's opening. A lid is attached and there are straps of leather as well.""",
8548,950,Accession #950 Purchase 07/24/1933 (950),1 ea,Basket,Balsa,Asia-Southeast Asia-Philippines--; ;,,"""This is a small basket made of light and dark brown fibers that are alternated in the weaving. The base is rectangular and the mouth is round rimmed by light brown fibers in a slightly different weave. The basket is rather pliable.""",
8550,950,Accession #950 Purchase 07/24/1933 (950),1 ea,Basket,Leaf,Asia-Southeast Asia-Philippines--; ;,Filipino,One large basket made of the mid-ribs of coconut leaves. Round. Sides woven. Bottom radiating overlaid sections.,8550_1.jpeg
8575,951,Accession #951 Purchase 07/19/1935 (951),1 ea,Basket,Leaf,Asia-Southeast Asia-Philippines-Leyte-; Leyte; Palo,,Round basket made of mid rib of coconut leaf.,8575_1.jpeg
8576,951,Accession #951 Purchase 07/19/1935 (951),1 ea,Basket,Leaf,Asia-Southeast Asia-Philippines-Leyte-; Leyte; Palo,,"""One round shallow basket made of mid-ribs of coconut leaves. The basket has a double-thickness reinforced base and is of a relatively open weave overall.""",8576_1.jpeg
8578,951,Accession #951 Purchase 07/19/1935 (951),1 ea,Basket,Reed,Asia-Southeast Asia-Philippines-Leyte-; Leyte; Palo,,One woven reed tray for winnowing rice. The base is woven in a herringbone design with a thick band at the rim; all of the basket is a light tan natural color except for a darker brown narrow strip binding at the very top of the rim.,8578_1.jpeg
8652,278,Accession #278 Purchase 04/20/1926 (278),1 ea,Basket,Leaf; Cotton; Fiber,Asia-Southeast Asia-Philippines--; ; Cottobatto,,"""1 deep circular basket. Made of linear leaves of pandanus? Decorated with multicolored cotton strips. Tapes down to bottom. Leaves on outer surface painted black. Bottom frame covered with scraps of colorful cotton textile. Above this are two bands of decoration made from shaped and woven fibers. Above this is a row of pyramids and step motifs of fiber with interior of pyramids filled with textile. Under top rim is a band of woven fiber then a series of geometric designs of fiber. Some of these are filled with cotton textile.""",8652_1.jpeg
17570,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Wicker,Asia-Southeast Asia-Philippines-Misamis Occidental-; ; Tagoloan,,Fish container of rattan and nito. Decorated with alternating dark and light bands.,17570_1.jpeg
17572,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Balsa,Asia-Southeast Asia-Philippines-Negros Occidental-; ; Cangmanhac,,"""Large market basket of bamboo rattan and lupis. The basket is supported by four thick bamboo legs and designed to sit on the ground.""",
17575,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Fiber,"""Asia-Southeast Asia-Philippines-Mindoro Occidental-; Mt. Halcon","Baco River; ""","Mangyan         ""Carrying basket of dukmoy nito rattan. Used for fruits and Vegetables.""",17575_1.jpeg
17576,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Reed ; Coconut,Asia-Southeast Asia-Philippines-Cebu-; ;,,"""One work basket with coconut midrib. Woven reed round with greater diameter at opening than base. Knotted bands at rim and articulation of base/walls.""",17576_1.jpeg
17577,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Rattan,Asia-Southeast Asia-Philippines-Sorsogon-; ;,Filipino,Fish basket of rattan with cordage carrying strap. Original number Coo5772.,17577_1.jpeg
17578,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Balsa,Asia-Southeast Asia-Philippines--; ;,,Shell basket of bamboo and rattan. This basket is woven of very dark organic material. It has a rectangular base and cylindrical body. A series of loops around the opening of the basket form handles and a hinge by which a lid of the same make is attached.,
17579,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Bamboo,Asia-Southeast Asia-Philippines-Nueva Vizcaya-; ; Dupax,,"""1 rice basket of bamboo and rattan. This basket has a rectangular base of rigid material that is tied to the main part of the basket. At the top the basket opening is round and ringed with a piece of bamboo to help hold its shape.""",17579_1.jpeg
17580,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Rattan; Fiber,Asia-Southeast Asia-Philippines-Leyte-; ; San Miguel,,"""1 utility basket of banban rattan nito-abaca. Used for thread eggs",17580_1.jpeg
