dcterms:identifier, dcterms:isPartOf, dcterms:provenance                              , dcterms:extent, dcterms:type          , dcterms:medium               , dcterms:spatial                                                                      , dcterms:subject                            , original_url                                                                          , dcterms:description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
8129,278, Accession #278 Purchase 04/20/1926 (278)        , 1 ea          , Basket                , Grass                        , Asia-Southeast Asia-Philippines-Cotabato-; ;                                         ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8129_1.jpeg      ," Basket with eight decorative legs. Red black    ""Basket made by women at Cottobatto""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          "," black    ""Basket made by women at Cottobatto                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "," ""Basket made by women at Cottobatto                                                                                                                                                                                                                                                                                                                                                              ",                                                                                  ,                                                                  , 
8272,1, Accession #1 UMMAA Expedition 1872 (1)          , 1 ea          , Basket                , Fiber                        , Asia-Southeast Asia-Philippines--; ;                                                 ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8272_1.jpeg      , Basket.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
8390,220, Accession #220 UMMAA Expedition 08/31/1925 (220), 1 ea          , Basket                , Balsa; Leather (tanned)      , Asia-Southeast Asia-Philippines-Davao del Norte-; ; Barrio Macgum              ," New Corella""                         ",                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Rattan carrying case weatherproofed with oil and ornamented with bamboo. This item is a tall rounded rectangular case that is dark brown with lighter brown zigzags                                                                                                                                                                                                                                                                   , and horizontal lines around it's opening. A lid is attached and there are straps of leather as well.                                                                                                                                                                                                                                                                                                    ,                                                                                  ,                                                                  , 
8548,950, Accession #950 Purchase 07/24/1933 (950)        , 1 ea          , Basket                , Balsa                        , Asia-Southeast Asia-Philippines--; ;                                                 ,                                            ,                                                                                       , This is a small basket made of light and dark brown fibers that are alternated in the weaving. The base is rectangular and the mouth is round                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , rimmed by light brown fibers in a slightly different weave. The basket is rather pliable.                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
8550,950, Accession #950 Purchase 07/24/1933 (950)        , 1 ea          , Basket                , Leaf                         , Asia-Southeast Asia-Philippines--; ;                                                 , Filipino                                   , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8550_1.jpeg      , One large basket made of the mid-ribs of coconut leaves. Round. Sides woven. Bottom radiating overlaid sections.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
8575,951, Accession #951 Purchase 07/19/1935 (951)        , 1 ea          , Basket                , Leaf                         , Asia-Southeast Asia-Philippines-Leyte-; Leyte; Palo                                  ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8575_1.jpeg      , Round basket made of mid rib of coconut leaf.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
8576,951, Accession #951 Purchase 07/19/1935 (951)        , 1 ea          , Basket                , Leaf                         , Asia-Southeast Asia-Philippines-Leyte-; Leyte; Palo                                  ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8576_1.jpeg      , One round                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , shallow basket made of mid-ribs of coconut leaves. The basket has a double-thickness reinforced base                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
8578,951, Accession #951 Purchase 07/19/1935 (951)        , 1 ea          , Basket                , Reed                         , Asia-Southeast Asia-Philippines-Leyte-; Leyte; Palo                                  ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8578_1.jpeg      , One woven reed tray for winnowing rice. The base is woven in a herringbone design with a thick band at the rim; all of the basket is a light tan natural color except for a darker brown narrow strip binding at the very top of the rim.                                                                                                                                                                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
8652,278, Accession #278 Purchase 04/20/1926 (278)        , 1 ea          , Basket                , Leaf; Cotton Fiber           , Asia-Southeast Asia-Philippines--; ; Cottobatto                                      ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/8652_1.jpeg      , 1 deep circular basket. Made of linear leaves of pandanus? Decorated with multicolored cotton strips. Tapes down to bottom. Leaves on outer surface painted black. Bottom frame covered with scraps of colorful cotton textile. Above this are two bands of decoration made from shaped and woven fibers. Above this is a row of pyramids and step motifs of fiber with interior of pyramids filled with textile. Under top rim is a band of woven fiber then a series of geometric designs of fiber. Some of these are filled with cotton textile.                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17570,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Wicker                       , Asia-Southeast Asia-Philippines-Misamis Occidental-; ; Tagoloan                      ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17570_1.jpeg     , Fish container of rattan and nito. Decorated with alternating dark and light bands.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
