Object identifier, Divisions                   , Accession Number         , Accession Description                           , Quantity    , Type        , Other Numbers                                    , Object Type           , Materials                    , Verbatim Geography                                 , Geographic Location  , Political Location          , Culture , Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , Curatorial Notes
8129             , Ethnology & Material Culture, Accession Number: 278    , Accession #278 Purchase 04/20/1926 (278)        , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Grass                        , Asia-Southeast Asia-Philippines-Cotabato-          ,                      ,                             ,         , "Basket with eight decorative legs. Red black natural color. Included note states ""Basket made by women at Cottobatto"""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , 
8272             , Ethnology & Material Culture, Accession Number: 1      , Accession #1 UMMAA Expedition 1872 (1)          , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Fiber                        , Asia-Southeast Asia-Philippines--                  ,                      ,                             ,         , Basket.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , 
8390             , Ethnology & Material Culture, Accession Number: 220    , Accession #220 UMMAA Expedition 08/31/1925 (220), "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Balsa; Leather (tanned)      , Asia-Southeast Asia-Philippines-Davao del Norte-   ,                      , Barrio Macgum- New Corella  ,         , Rattan carrying case weatherproofed with oil and ornamented with bamboo. This item is a tall rounded rectangular case that is dark brown with lighter brown zigzags vertical lines and horizontal lines around it's opening. A lid is attached and there are straps of leather as well.                                                                                                                                                                                                                                                                                                                                           , 
8548             , Ethnology & Material Culture, Accession Number: 950    , Accession #950 Purchase 07/24/1933 (950)        , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Balsa                        , Asia-Southeast Asia-Philippines--                  ,                      ,                             ,         , This is a small basket made of light and dark brown fibers that are alternated in the weaving. The base is rectangular and the mouth is round rimmed by light brown fibers in a slightly different weave. The basket is rather pliable.                                                                                                                                                                                                                                                                                                                                                                                           , 
8550             , Ethnology & Material Culture, Accession Number: 950    , Accession #950 Purchase 07/24/1933 (950)        , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Leaf                         , Asia-Southeast Asia-Philippines--                  ,                      ,                             , Filipino, Round basket made of mid rib of coconut leaf.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , 
8575             , Ethnology & Material Culture, Accession Number: 951    , Accession #951 Purchase 07/19/1935 (951)        , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Leaf                         , Asia-Southeast Asia-Philippines-Leyte-             , Leyte                , Palo                        ,         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , 
8576             , Ethnology & Material Culture, Accession Number: 951    , Accession #951 Purchase 07/19/1935 (951)        , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Leaf                         , Asia-Southeast Asia-Philippines-Leyte-             , Leyte                , Palo                        ,         , One round shallow basket made of mid-ribs of coconut leaves. The basket has a double-thickness reinforced base and is of a relatively open weave overall.                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , 
8578             , Ethnology & Material Culture, Accession Number: 951    , Accession #951 Purchase 07/19/1935 (951)        , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Reed                         , Asia-Southeast Asia-Philippines-Leyte-             , Leyte                , Palo                        ,         , One woven reed tray for winnowing rice. The base is woven in a herringbone design with a thick band at the rim; all of the basket is a light tan natural color except for a darker brown narrow strip binding at the very top of the rim.                                                                                                                                                                                                                                                                                                                                                                                         , 
8652             , Ethnology & Material Culture, Accession Number: 278    , Accession #278 Purchase 04/20/1926 (278)        , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Leaf; Cotton; Fiber          , Asia-Southeast Asia-Philippines--                  ,                      , Cottobatto                  ,         , 1 deep circular basket. Made of linear leaves of pandanus? Decorated with multicolored cotton strips. Tapes down to bottom. Leaves on outer surface painted black. Bottom frame covered with scraps of colorful cotton textile. Above this are two bands of decoration made from shaped and woven fibers. Above this is a row of pyramids and step motifs of fiber with interior of pyramids filled with textile. Under top rim is a band of woven fiber then a series of geometric designs of fiber. Some of these are filled with cotton textile.                                                                               , 
17570            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, Other Number: C4625 Number Type: original numbers, Basket                , Wicker                       , Asia-Southeast Asia-Philippines-Misamis Occidental-,                      , Tagoloan                    ,         , Fish container of rattan and nito. Decorated with alternating dark and light bands.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , 
17572            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo5704
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Balsa                        , Asia-Southeast Asia-Philippines-Negros Occidental- ,                      , Cangmanhac                  ,         , Large market basket of bamboo rattan and lupis. The basket is supported by four thick bamboo legs and designed to sit on the ground.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , 
17575            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo 5747
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Fiber                        , Asia-Southeast Asia-Philippines-Mindoro Occidental-, Mt. Halcon Baco River,                             , Mangyan , Carrying basket of dukmoy nito rattan. Used for fruits and Vegetables.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , 
