directory,filename,file_ext,size_bytes,size_kib,size_kb,size_mib,size_mb,rel_path,full_path
Baskets,17570_1.jpg,jpg,5210279,5088.2,5210,5,5,Baskets/17570_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17571_1.jpg,jpg,4726856,4616.1,4727,4.5,5,Baskets/17571_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17574_1.jpg,jpg,5517381,5388.1,5517,5.3,6,Baskets/17574_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17575_1.jpg,jpg,4171865,4074.1,4172,4,4,Baskets/17575_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17576_1.jpg,jpg,4827808,4714.7,4828,4.6,5,Baskets/17576_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17577_1.jpg,jpg,4812560,4699.8,4813,4.6,5,Baskets/17577_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17579_1.jpg,jpg,4562006,4455.1,4562,4.4,5,Baskets/17579_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17580_1.jpg,jpg,3743023,3655.3,3743,3.6,4,Baskets/17580_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17582_1.jpg,jpg,4656594,4547.5,4657,4.4,5,Baskets/17582_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17583_1.jpg,jpg,4873772,4759.5,4874,4.6,5,Baskets/17583_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17585_1.jpg,jpg,4918008,4802.7,4918,4.7,5,Baskets/17585_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17586_1.jpg,jpg,4774120,4662.2,4774,4.6,5,Baskets/17586_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17587_1.jpg,jpg,1976799,1930.5,1977,1.9,2,Baskets/17587_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17590_1.jpg,jpg,4125898,4029.2,4126,3.9,4,Baskets/17590_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17591_1.jpg,jpg,4490092,4384.9,4490,4.3,4,Baskets/17591_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17593_1.jpg,jpg,3807444,3718.2,3807,3.6,4,Baskets/17593_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17594_1.jpg,jpg,4199156,4100.7,4199,4,4,Baskets/17594_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17595_1.jpg,jpg,4524676,4418.6,4525,4.3,5,Baskets/17595_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17596_1.jpg,jpg,3442563,3361.9,3443,3.3,3,Baskets/17596_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17597_1.jpg,jpg,4913081,4797.9,4913,4.7,5,Baskets/17597_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17598_1.jpg,jpg,4043516,3948.7,4044,3.9,4,Baskets/17598_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17599_1.jpg,jpg,3058831,2987.1,3059,2.9,3,Baskets/17599_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17600_1.jpg,jpg,5229842,5107.3,5230,5,5,Baskets/17600_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17601_1.jpg,jpg,4219945,4121,4220,4,4,Baskets/17601_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17602_1.jpg,jpg,4645478,4536.6,4645,4.4,5,Baskets/17602_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17607_1.jpg,jpg,4659505,4550.3,4660,4.4,5,Baskets/17607_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17610_1.jpg,jpg,4842878,4729.4,4843,4.6,5,Baskets/17610_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17612_1.jpg,jpg,3891737,3800.5,3892,3.7,4,Baskets/17612_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17613_1.jpg,jpg,5299228,5175,5299,5.1,5,Baskets/17613_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17652_1.jpg,jpg,4877296,4763,4877,4.7,5,Baskets/17652_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17707_1.jpg,jpg,3321329,3243.5,3321,3.2,3,Baskets/17707_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,17709_1.jpg,jpg,4393607,4290.6,4394,4.2,4,Baskets/17709_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,1989-74-23_2.jpg,jpg,4576826,4469.6,4577,4.4,5,Baskets/1989-74-23_2.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,1989-74-25_1.jpg,jpg,4649968,4541,4650,4.4,5,Baskets/1989-74-25_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,1989-74-26_1.jpg,jpg,4927526,4812,4928,4.7,5,Baskets/1989-74-26_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,1989-74-27_1.jpg,jpg,4582958,4475.5,4583,4.4,5,Baskets/1989-74-27_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,1989-74-28_1.jpg,jpg,4556194,4449.4,4556,4.3,5,Baskets/1989-74-28_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,1989-74-29_1.jpg,jpg,4119635,4023.1,4120,3.9,4,Baskets/1989-74-29_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,1989-74-30_1.jpg,jpg,4272009,4171.9,4272,4.1,4,Baskets/1989-74-30_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,1989-74-32_3.jpg,jpg,4186526,4088.4,4187,4,4,Baskets/1989-74-32_3.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,1989-74-32_4.jpg,jpg,4752698,4641.3,4753,4.5,5,Baskets/1989-74-32_4.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,1989-74-33_1.jpg,jpg,4837654,4724.3,4838,4.6,5,Baskets/1989-74-33_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,1989-74-49_1.jpg,jpg,2887790,2820.1,2888,2.8,3,Baskets/1989-74-49_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
Baskets,1989-74-51_1.jpg,jpg,4885683,4771.2,4886,4.7,5,Baskets/1989-74-51_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Baskets
